Tanzania,56318348,34.81309981,-6.27565408
Thailand,69428524,101.0028813,15.11815794
Togo,7889094,0.96232845,8.52531356
Tonga,103197,-174.8098734,-20.42843174
TrinidadandTobago,1389858,-61.26567923,10.45733408
Tunisia,11565204,9.55288359,34.11956246
Turkey,82319724,35.16895346,39.0616029
Turkmenistan,5850908,59.37100021,39.11554137
TurksandCaicosIslands,37665,-71.97387881,21.83047572
Uganda,42723139,32.36907971,1.27469299
Ukraine,44622516,31.38326469,48.99656673
UnitedArabEmirates,9630959,54.3001671,23.90528188
UnitedKingdom,66460344,-2.86563164,54.12387156
UnitedStates,326687501,-112.4616737,45.6795472
Uruguay,3449299,-56.01807053,-32.79951534
Uzbekistan,32955400,63.14001528,41.75554225
Vanuatu,292680,167.6864464,-16.22640909
Venezuela,28870195,-66.18184123,7.12422421
Vietnam,95540395,106.299147,16.6460167
VirginIslands,U.S.,106977,-64.80301538,17.95500624
Yemen,28498687,47.58676189,15.90928005
Zambia,17351822,27.77475946,-13.45824152
Zimbabwe,14439018,29.8514412,-19.00420419
